Company,Domain,Total Employees,US Employees,Non-US Employees,Non-US Breakdown
RBC,rbc.com,1,0,1,Canada: 1
Jota Company,joeljota.com,1,0,1,Brazil: 1
Spencer Stuart,spencerstuart.com,2,1,1,Italia: 1
AceVector,acevector.com,1,0,1,India: 1
UNAIDS,unaids.org,1,0,1,Switzerland: 1
Nas Company,nas.co,1,0,1,Bangladesh: 1
Coral Mujaes CORP,coralmujaes.com,1,0,1,México: 1
Shopee,shopee.com,1,0,1,Brazil: 1
PT Indofood Sukses Makmur Tbk,indofood.com,1,0,1,Jakarta Metropolitan Area: 1
Generative Ventures,genventures.xyz,1,0,1,United Kingdom: 1
Al Ghurair Infrastructure,al-ghurair.com,1,0,1,United Arab Emirates: 1
Yuvoice,yuvoice.com,1,0,1,United Kingdom: 1
Theo Paphitis Retail Group,tprg.com,1,0,1,United Kingdom: 1
Kontakt India Advisory Services LLP,bvmw.de,1,0,1,India: 1
Crédit Agricole Egypt,ca-egypt.com,1,0,1,Egypt: 1
Infineon Technologies,infineon.com,1,0,1,Germany: 1
Randstad,randstad.com,2,1,1,Brazil: 1
Daniel Smith + Partners,danielsmith.es,1,0,1,Spain: 1
InterviewReady,interviewready.io,1,0,1,India: 1
Sales IQ Global,salesiqglobal.com,1,0,1,Australia: 1
Havan,havan.com.br,1,0,1,Brazil: 1
Imflue,imflue.com.br,1,0,1,Brazil: 1
Strati Georgopoulos Executive Search,rtggroupusa.com,1,0,1,Canada: 1
The AskMe Network,theaskme.network,1,0,1,United Kingdom: 1
iigual Inclusão e Diversidade,iigual.com.br,1,0,1,Brazil: 1
Odido Nederland,odido.nl,1,0,1,Switzerland: 1
Tata Motors,tatamotors.com,1,0,1,India: 1
Figuring Out Media & Education,figuringout.co,1,0,1,India: 1
Hugging Face,huggingface.co,3,2,1,United Kingdom: 1
Biocon Group,biocon.com,1,0,1,India: 1
Blinkit,blinkit.com,1,0,1,India: 1
Eternal,eternal.com,1,0,1,India: 1
Vocation & Talents,vocation-talents.com,1,0,1,Morocco: 1
Norges Bank Investment Management,nbim.no,1,0,1,Norway: 1
FTC Talent Media & Entertainment,ftctalentmediaentertainment.com,1,0,1,India: 1
Cybele Energy Ltd,cybeleenergy.com,1,0,1,South Africa: 1
The Global Energy Alliance for People and Planet,energyalliance.org,1,0,1,India: 1
Net Positive,netpositive.world,1,0,1,Italy: 1
Navigating the Vortex,navigatingthevortex.com,1,0,1,United Kingdom: 1
mCholas,mcholas.com,1,0,1,India: 1
Elmaaly Group For Recruitment مجموعة المعالى للتوظيف,elmaalygroup.net,1,0,1,Egypt: 1
Beyond Unity,beyondunity.com,1,0,1,United Kingdom: 1
Techerudite,techerudite.com,1,0,1,India: 1
"Hoover Institution, Stanford University",hoover.org,1,0,1,Sweden: 1
takeUforward,takeuforward.org,1,0,1,India: 1
Stand-up Comedian,andrewsearles.com,1,0,1,India: 1
CNBC,cnbc.com,6,5,1,Brazil: 1
Al Harithy Company for Exhibitions - ACE,acexpos.com,1,0,1,Saudi Arabia: 1
ECOM Agroindustrial Corp. Ltd.,ecomtrading.com,1,0,1,Brazil: 1
58.com,58.com,1,0,1,China: 1
01.AI,01.ai,1,0,1,China: 1
RPG Life Sciences Ltd.,rpglifesciences.com,1,0,1,India: 1
The Executive Brand,theexecutivebrand.com,1,0,1,Australia: 1
The Saturday Solopreneur,justinwelsh.me,1,0,1,New York City Metropolitan Area: 1
RRH Carreiras | Talentos & Carreira,rrhcarreiras.com.br,1,0,1,Brazil: 1
ImpactD,impactd.in,1,0,1,India: 1
Aspire Coronation Trust Foundation,actrustfoundation.org,1,0,1,Nigeria: 1
G100: Mission Million,g100.in,2,1,1,Kenya: 1
DAMAC Properties,damacproperties.com,1,0,1,United Arab Emirates: 1
HRCI,hrci.org,1,0,1,Nigeria: 1
Blast Club,blast.club,1,0,1,France: 1
Long-Term Stock Exchange,ltse.com,1,0,1,San Francisco Bay Area: 1
Futurebrands Consulting,futurebrandsconsulting.com,1,0,1,India: 1
Novartis,novartis.com,1,0,1,Switzerland: 1
SIM ENTERPRISES,nehamalhotraa.com,1,0,1,India: 1
Sugaronline,sugaronline.com,1,0,1,India: 1
Career Leap by Reno Perry,careerleap.co,1,0,1,Greater Chicago Area: 1
Awards of Happiness,awardsofhappiness.com,1,0,1,Colombia: 1
CHANEL,chanel.com,1,0,1,United Kingdom: 1
Trilig Ennergyy,triligenergy.com,1,0,1,India: 1
Me Poupe!,mepoupe.com,1,0,1,Brazil: 1
BYJU'S,byjus.com,1,0,1,India: 1
Authentic Group of Companies,authentic-staffing.com,1,0,1,India: 1
bigbasket,bigbasket.com,1,0,1,India: 1
"Emprego Novo, Sonho Antigo",empregonovo.net.br,1,0,1,Brazil: 1
Commodity Monitor Limited,commoditymonitor.org,1,0,1,Switzerland: 1
Rocha & Queiroz Advogados,rqladvogadosassociados.com.br,1,0,1,Argentina: 1
American Global Strategies,americanglobalstrategies.com,1,0,1,Australia: 1
TBSO,tbso.com,1,0,1,France: 1
LKQ India Private Limited,lkqcorp.com,1,0,1,India: 1
iSolution,ismena.com,1,0,1,Egypt: 1
Audax,audaxrenovables.com,1,0,1,Spain: 1
Ministry of Foreign Affairs,mofa.gov.ae,1,0,1,United Arab Emirates: 1
LSN-IT GmbH,lsn-it.com,1,0,1,India: 1
PRABIR JHA PEOPLE ADVISORY,prabirjha.com,1,0,1,India: 1
G42,g42.ai,1,0,1,United Arab Emirates: 1
DB Consultoria e Mentoria,denisebrasil.com.br,1,0,1,Brazil: 1
NamasteDev.com,namastedev.com,1,0,1,India: 1
Livro: Seja Egoísta com sua Carreira,amzn.to,1,0,1,Brazil: 1
Greater London Authority,london.gov.uk,1,0,1,United Kingdom: 1
Oscilar,oscilar.com,1,0,1,Lithuania: 1
Presidenza del Consiglio dei Ministri,governo.it,1,0,1,Italy: 1
Neon Fund,neon.fund,1,0,1,India: 1
Vagas em Piracicaba SP ,hotmart.com,1,0,1,Brazil: 1
Aam Aadmi Party,aamaadmiparty.org,1,0,1,India: 1
BankBazaar India,bankbazaar.com,1,0,1,India: 1
HOMEWORK,homework.net.br,1,0,1,Brazil: 1
Ennoble Infotech,ennobleinfotech.com,1,0,1,India: 1
Istanbul Metropolitan Municipality,ibb.istanbul,1,0,1,Türkiye: 1
TTarga,ttarga.com.br,1,0,1,Brazil: 1
S4S Ventures,s4sventures.com,1,0,1,United Kingdom: 1
LEWIS HAMILTON VENTURES,lewishamiltonventures.com,1,0,1,Monaco: 1
Emeritus,emeritus.org,1,0,1,India: 1
Code Help,thecodehelp.in,1,0,1,India: 1
Arth By Emcure,arthbyemcure.com,1,0,1,India: 1
People's Action Party,pap.org.sg,1,0,1,Singapore: 1
The Multimedia Group (Ltd.),multimediaghana.com,1,0,1,Ghana: 1
DRAIPL,draipl.com,1,0,1,India: 1
ANAROCK,anarock.com,1,0,1,India: 1
BlewMinds - Believe. Be. Beyond,blewminds.com,1,0,1,India: 1
TresVista,tresvista.com,1,0,1,India: 1
Crafter's Companion,crafterscompanion.co.uk,1,0,1,United Kingdom: 1
Governo do Brasil,www.gov.br,1,0,1,Brazil: 1
Unimark/Longo,unimark.com.br,1,0,1,Brazil: 1
Ketto,ketto.org,1,0,1,India: 1
Oliver Wyman,oliverwyman.com,1,0,1,Hong Kong SAR: 1
Enchanté,enchante.co,1,0,1,Australia: 1
STEER World,steerworld.com,1,0,1,India: 1
France Télévisions,francetelevisions.fr,1,0,1,France: 1
Connecting with Innovators & Enterpreneurs,iese.edu,1,0,1,Greece: 1
Quanten Media,quanten.co,1,0,1,Singapore: 1
MANAGEMENT BIENVEILLANT,manageur.fr,1,0,1,France: 1
Amy & Ella,amyandella.com,1,0,1,New Zealand: 1
Influenceo Global,influenceogroup.com,1,0,1,Thailand: 1
The English Meeting Room,theenglishmeetingroom.com,1,0,1,United Kingdom: 1
Alvarez & Marsal,alvarezandmarsal.com,1,0,1,India: 1
Instituto Viver RH,maritorres.com.br,1,0,1,Brazil: 1
IARA HR SERVICES PVT LTD,irarahrs.com,1,0,1,India: 1
Godrej Capital,godrejcapital.com,1,0,1,India: 1
Implement Consulting Group,implementconsultinggroup.com,1,0,1,Denmark: 1
RED TIC,red-tic.com,1,0,1,Morocco: 1
The Business Academy,thebusinessacademy.com.au,1,0,1,Australia: 1
timdenning.com,timdenning.com,1,0,1,Australia: 1
Grupo Gaia (Brasil),grupogaia.com.br,1,0,1,Brazil: 1
SAUDI EXPORTS,saudiexports.sa,1,0,1,Saudi Arabia: 1
Tawil Comunicação,tawil.com.br,1,0,1,Brazil: 1
São Lucas Hospital,gruposaolucas.com.br,1,0,1,Brasil: 1
University of the Punjab,pu.edu.pk,1,0,1,Pakistan: 1
ASML,asml.com,1,0,1,France: 1
Vedanta Group,vedantalimited.com,1,0,1,United Kingdom: 1
Paris 2024 - Comité d'organisation des Jeux Olympiques et Paralympiques de 2024,paris2024.org,1,0,1,France: 1
Natixis Corporate & Investment Banking,natixis.com,1,0,1,Hong Kong SAR: 1
AMMEGA,ammega.com,1,0,1,United Kingdom: 1
Social Tip,socialtip.io,1,0,1,United Kingdom: 1
Abu Dhabi Airports,adairports.ae,1,0,1,United Arab Emirates: 1
PrimeVP,primevp.in,1,0,1,India: 1
Exponential View,exponentialview.co,1,0,1,United Kingdom: 1
KLITSCHKO Ventures GmbH,klitschko-ventures.com,1,0,1,Ukraine: 1
AB Studio,alexbobeda.com,1,0,1,Brazil: 1
iyeTec Systems Pvt. Ltd.,iyetec.com,1,0,1,India: 1
Vitabiotics Ltd,vitabiotics.com,1,0,1,United Kingdom: 1
TotalEnergies,totalenergies.com,1,0,1,France: 1
ADNOC Logistics & Services,adnocls.ae,1,0,1,United Arab Emirates: 1
Mars,mars.com,2,1,1,Colombia: 1
"Ministry of Finance, Indonesia",depkeu.go.id,1,0,1,Indonesia: 1
Chai Sutta Bar,chaisuttabarindia.com,1,0,1,India: 1
NBT GLOBAL GROWTH,nbtglobalgrwth.com,1,0,1,India: 1
Avenue Media,creatumedio.com,1,0,1,Mexico: 1
Geração K - Cresça na Carreira!,geracaok.com.br,1,0,1,Brazil: 1
Jindal Power Limited,jindalpower.com,1,0,1,India: 1
ROCK,rock.co.uk,1,0,1,United Kingdom: 1
IC for Language & Education Programs,icleps.com,1,0,1,Canada: 1
Saudi Arabia Holding Co.,saudiholding.com,1,0,1,Saudi Arabia: 1
DS RECRUITMENT SOLUTIONS,dorik.io,1,0,1,Malaysia: 1
Horizons,horizonsleparti.fr,1,0,1,France: 1
The Medical Futurist Institute,tmfinstitute.org,1,0,1,Hungary: 1
Exits MENA,exits.me,1,0,1,Egypt: 1
ProofHub,proofhub.com,1,0,1,India: 1
Mercedes-Benz Group AG,mercedes-benz.com,1,0,1,Germany: 1
Memorisely,memorisely.com,1,0,1,United Kingdom: 1
Ontario Government | Gouvernement de l’Ontario,ontario.ca,1,0,1,Canada: 1
Staj ve Burs İlanlari,tittuppy.com,1,0,1,Türkiye: 1
Freelancer.com,freelancer.com,1,0,1,Australia: 1
KRISHAI Technologies Private Limited,krishnaik.in,1,0,1,India: 1
e&,eand.com,1,0,1,الإمارات العربية المتحدة: 1
The Founder's Blueprint Accelerator,foundersblueprint.ai,1,0,1,Canada: 1
Fiza Group,fizagroup.com,1,0,1,India: 1
Samosys Technologies Pvt. Ltd.,samosys.com,1,0,1,India: 1
Data-Mania,data-mania.com,1,0,1,Thailand: 1
MoureDev,moure.dev,1,0,1,Spain: 1
Association Vallée de la Millière,valleedelamilliere.org,1,0,1,France: 1
SourceFuse,sourcefuse.com,1,0,1,India: 1
Medmark Egypt,medmark.eg,1,0,1,Egypt: 1
Squares Developments,squaresdev.com,1,0,1,Egypt: 1
India Vision Foundation,indiavisionfoundation.org,1,0,1,India: 1
Elan,hugodecrypte.com,1,0,1,France: 1
Decor Colors,decorcolors.com.br,1,0,1,Brazil: 1
Business Humanizers Academy,humanizersacademy.com,1,0,1,Spain: 1
"TOHO University, School of Medicine",epiconsult.org,1,0,1,Japan: 1
Rosberg Ventures,rosberg.ventures,1,0,1,Monaco: 1
Spiegamelo Facile,spiegamelofacile.com,1,0,1,United Kingdom: 1
Torrent Power,torrentpower.com,1,0,1,India: 1
Michael AGUILAR,michaelaguilar.fr,1,0,1,France: 1
Consulus,consulus.com,1,0,1,Singapore: 1
Link Up,linkupbyjasmin.com,1,0,1,Bosnia and Herzegovina: 1
Surgente Consultoria,surgente.com.br,1,0,1,Greater Goiania: 1
European Space Agency - ESA,esa.int,1,0,1,France: 1
AC Hunter | Consultoria e Treinamento,mapadoprocessoseletivo.com.br,1,0,1,Brazil: 1
Butterfly Effect,butterfly3ffect.io,1,0,1,United Kingdom: 1
Premier Services and Recruitment,premieregypt.com,1,0,1,Egypt: 1
Royal Caribbean Group,royalcaribbeangroup.com,2,1,1,United Kingdom: 1
Vetor Humano - Revista,mercadopago.com.br,1,0,1,Brazil: 1
PT Kapal Api Global,kapalapi.com,1,0,1,Indonesia: 1
Sharjah Book Authority | هيئة الشارقة للكتاب,sba.gov.ae,1,0,1,United Arab Emirates: 1
ajvc,ajuniorvc.com,1,0,1,India: 1
IIBA,iiba.org,1,0,1,Nigeria: 1
89 A Rádio Rock,radiorock.com.br,1,0,1,Brazil: 1
Lara Sophie Bothur,larasophiebothur.com,1,0,1,Germany: 1
Himalaya Wellness Company,himalayawellness.in,1,0,1,India: 1
EBSCO Information Services,icims.com,1,0,1,Egypt: 1
"PT Sekar Bumi, Tbk.",sekarbumi.com,1,0,1,Indonesia: 1
District Ventures Capital,districtventurescapital.com,1,0,1,Greater Calgary Metropolitan Area: 1
ELSEWEDY ELECTRIC,elsewedyelectric.com,1,0,1,Egypt: 1
Impressico Business Solutions,impressico.com,1,0,1,India: 1
Keitiane Gomes - Psicologia,keitianegomes.com.br,1,0,1,Brasil: 1
Seven Seven Six 776,sevensevensix.com,1,0,1,Miami-Fort Lauderdale Area: 1
ThoughtSpot,thoughtspot.com,1,0,1,India: 1
Vinh Giang,vinhgiang.com,1,0,1,Australia: 1
MCA Auditoria e Gerenciamento Ltda,mca.srv.br,1,0,1,Brazil: 1
Only What's Needed by Food Pharmer,onlywhatsneeded.in,1,0,1,India: 1
Yıldız Holding,yildizholding.com.tr,1,0,1,Türkiye: 1
Kering,kering.com,1,0,1,France: 1
FORTH Innovation Institute,forth-innovation-institute.com,1,0,1,Italy: 1
Electric Vehicles Outlook Ltd,electricvehiclesoutlook.com,1,0,1,United Kingdom: 1
Niamh Ventures LLC,niamhventures.com,1,0,1,India: 1
Nath Finanças,nathfinancas.com.br,1,0,1,Brazil: 1
URBAN SILENCE LIMITED,urbansilenceltd.com,1,0,1,United Kingdom: 1
Gerando Falcões,gerandofalcoes.com,1,0,1,Brazil: 1
System Design One,systemdesign.one,1,0,1,Germany: 1
Savage Recruitment Academy,thesra.co,1,0,1,Australia: 1
Servicio de Impuestos Internos (SII),sii.cl,1,0,1,Chile: 1
Musée du Louvre,louvre.fr,1,0,1,France: 1
Literally Academy,literallyacademy.com,1,0,1,United Kingdom: 1
Innovation Authority,innovationauthority.com,1,0,1,Croatia: 1
Pink Rabbit Lens,pinkrabbitlens.id,1,0,1,Indonesia: 1
BCS Technology International Pty Ltd,bcstechnology.com.au,1,0,1,India: 1
IF HUMANOS CONSULTORIA,ifhumanos.com.br,1,0,1,Brazil: 1
The Good Edge,thegoodedge.com,1,0,1,India: 1
Corporate Finance Hub,bojanfin.com,1,0,1,Serbia: 1
Partido Popular de Madrid,ppmadrid.es,1,0,1,Spain: 1
Socialter,socialter.fr,1,0,1,France: 1
TrendyTech - Big Data By Sumit Mittal,trendytech.in,1,0,1,India: 1
Ceci RH,cecirh.com.br,1,0,1,Brazil: 1
Granny&Smith,grannyandsmith.com,1,0,1,Germany: 1
JG Summit Holdings Inc.,jgsummit.com.ph,1,0,1,Philippines: 1
S'HR Akademi & Danışmanlık,shrdanismanlik.com,1,0,1,Turkey: 1
Success Options Inc,successoptionsinc.com,1,0,1,Philippines: 1
WolfEgy,wolfegy.com,1,0,1,Egypt: 1
The/Nudge Institute,thenudge.org,1,0,1,India: 1
DistritoLegal,distritolegal.es,1,0,1,Spain: 1
McLean & Company,mcleanco.com,1,0,1,Canada: 1
AAMERAH,aamerah.com,1,0,1,United Arab Emirates: 1
Laborhe Consultores Associados,laborhe.com.br,1,0,1,Brazil: 1
Perspicuity Consulting,stateofthenation.gov.za,1,0,1,South Africa: 1
"Aleph Group, Inc",alephholding.com,1,0,1,Egypt: 1
UAE General Civil Aviation Authority (GCAA),gcaa.gov.ae,1,0,1,United Arab Emirates: 1
GeeksforGeeks,geeksforgeeks.org,1,0,1,India: 1
WEB JASPER,webjasper.com.br,1,0,1,Brazil: 1
Dexa Group,dexagroup.com,1,0,1,Indonesia: 1
Lok Sabha,bjym.org,1,0,1,India: 1
Xpheno,xpheno.com,1,0,1,India: 1
LUDYIFITM,ludyifi.com,1,0,1,Malaysia: 1
HabitStrong,habitstrong.com,1,0,1,India: 1
Impulsa tu Marca | Joel Artigas,joelartigas.com,1,0,1,Spain: 1
Cast AI,cast.ai,1,0,1,United Kingdom: 1
Tata Consulting Engineers,tataconsultingengineers.com,1,0,1,India: 1
Trafigura,trafigura.com,1,0,1,Brazil: 1
Canva,canva.com,1,0,1,Australia: 1
Alphanumero,alphanumero.io,1,0,1,India: 1
InterNey Treinamentos e Palestras,interney.net,1,0,1,Brazil: 1
Al Manar Group,almanargroup.com,1,0,1,Egypt: 1
Marlabs,marlabs.com,1,0,1,India: 1
Ola,olacabs.com,1,0,1,India: 1
Meme Chat,memechat.app,1,0,1,India: 1
Confidential,confidential.com,1,0,1,Saudi Arabia: 1
Autoland AG,autoland.de,1,0,1,Germany: 1
Innovista,innovista.pk,1,0,1,Pakistan: 1
VOYA Development,voyadevelopment.com,1,0,1,Egypt: 1
Vigyapanam,vigyapanam.com,1,0,1,India: 1
Mercy University Hospital,muh.ie,1,0,1,Ireland: 1
AFRICAN NATIONAL CONGRESS,anc.org.za,1,0,1,South Africa: 1
Murty Trust,murtytrust.org,1,0,1,India: 1
Kigen,kigen.com,1,0,1,India: 1
Schneider Electric,se.com,1,0,1,Hong Kong SAR: 1
Bundeskanzleramt,cdu.de,1,0,1,Germany: 1
Mob House,mob.house,1,0,1,Brazil: 1
Vivo (Telefônica Brasil),vivo.com.br,1,0,1,Brazil: 1
NBK Egypt,nbk.com,1,0,1,Egypt: 1
Wild Capital Academy,wildcapital.co,1,0,1,Czechia: 1
T7 Global Berhad,t7global.com.my,1,0,1,Malaysia: 1
Strategy.Inc,strategy.inc,1,0,1,Netherlands: 1
Contract Signed,contractsigned.org,1,0,1,دبي الإمارات العربية المتحدة: 1
Six Nations Rugby,sixnationsrugby.com,1,0,1,United Kingdom: 1
Media Marketing Knowledge Group,mmkgroup.com.mx,1,0,1,Mexico: 1
Korakhoa Solutions (HR Services),korakhoa.co.za,1,0,1,South Africa: 1
MBA CHAI WALA INDIA,mbachaiwala.com,1,0,1,India: 1
Databricks,databricks.com,4,3,1,India: 1
MENRV.AI,menrv.ai,1,0,1,United Arab Emirates: 1
Moonshot,moonshotmedia.in,1,0,1,India: 1
PRISM,prismlife.com,1,0,1,India: 1
Broad History,broadhistory.com,1,0,1,United Kingdom: 1
Cacau Show,cacaushow.com.br,1,0,1,Brazil: 1
Carbone 4,carbone4.com,1,0,1,France: 1
CRED,cred.club,1,0,1,India: 1
Rakuten,rakuten.com,1,0,1,日本 東京都 東京: 1
AI Finance Club,ai-finance.club,1,0,1,Deutschland: 1
Finocontrol,finocontrol.com,1,0,1,India: 1
Searchable,searchable.com,1,0,1,United Kingdom: 1
OrionStar Robotics,orionstar.com,1,0,1,Singapore: 1
Gretchen Rubin Media,gretchenrubin.com,1,0,1,New York City Metropolitan Area: 1
Institute of Life,iol.life,1,0,1,Singapore: 1
Big Red Group,bigred.group,1,0,1,Australia: 1
India Genius Challenge,indiageniuschallenge.com,1,0,1,India: 1
HER Heard,circle.so,2,1,1,Greater Boston: 1
The Bharat Project,thebharatproject.co.in,1,0,1,India: 1
Peking University,pku.edu.cn,1,0,1,Taiwan: 1
UBA Group,ubagroup.com,1,0,1,Nigeria: 1
Max Gehringer | Mundo Corporativo,maxgehringer.com.br,1,0,1,Brazil: 1
GC Consulting,gulneetchadha.com,1,0,1,United Arab Emirates: 1
The Economist,economist.com,1,0,1,China: 1
Fosun 复星,fosun.com,1,0,1,China: 1
Self Employed,onlinecareer360.com,1,0,1,China: 1
The Lab Designs,greensheikhacademy.com,1,0,1,United Arab Emirates: 1
LOI Venture,loi.vc,1,0,1,Canada: 1
Positive Planet,positiv.ngo,1,0,1,France: 1
Shaadi.com,peopleinteractive.in,1,0,1,India: 1
B Capital,b.capital,1,0,1,Singapore: 1
Fidelity China Special Situations,eqtgroup.com,1,0,1,Hong Kong SAR: 1
"Revantage, A Blackstone Portfolio Company",revantage.com,1,0,1,India: 1
BeerBiceps Skillhouse,beerbicepsskillhouse.in,1,0,1,India: 1
Bernard Marr & Co,bernardmarr.com,1,0,1,United Kingdom: 1
SUGAR Cosmetics,sugarcosmetics.com,1,0,1,India: 1
Gruhas,gruhas.com,1,0,1,India: 1
CXXO,kalaari.com,1,0,1,India: 1
Lancaster University,lancaster.ac.uk,1,0,1,United Kingdom: 1
Radio Classique,radioclassique.fr,1,0,1,France: 1
Wheels India Limited,wheelsindia.com,1,0,1,India: 1
Red Deer Polytechnic,rdpolytech.ca,1,0,1,Canada: 1
EMRIOM UAE,emriom.com,1,0,1,United Arab Emirates: 1
Prima Materia,primamateria.com,1,0,1,Sweden: 1
Fame,fame.so,1,0,1,United Kingdom: 1
Easetalent,easetalent.co,1,0,1,Pakistan: 1
İzgören Akademi,izgorenakademi.com,1,0,1,Türkiye: 1
Humanos como recurso,humanoscomorecurso.com,1,0,1,Spain: 1
Fluree,flur.ee,1,0,1,500+ connections: 1
Wonder,wonder.com,1,0,1,New York City Metropolitan Area: 1
AluNile,alunile-eg.com,1,0,1,Egypt: 1
Samsung R&D Institute India - Bangalore,samsung.com,1,0,1,India: 1
Dar,dar.com,1,0,1,Egypt: 1
Axilor Ventures,axilor.com,1,0,1,India: 1
CNN Brasil,cnnbrasil.com.br,1,0,1,Brazil: 1
Tiger Recruitment,tiger-recruitment.com,1,0,1,United Arab Emirates: 1
Inchcape Américas,inchcape.com,1,0,1,Colombia: 1
Code1 Tech Systems,code1.dev,1,0,1,India: 1
University Medical Center Mainz,unimedizin-mainz.de,1,0,1,Germany: 1
Hero MotoCorp,heromotocorp.com,1,0,1,India: 1
Identixweb Limited,identixweb.com,1,0,1,India: 1
TACTICAL MANAGEMENT,tacticalmanagement.ch,1,0,1,Switzerland: 1
Abraji - Associação Brasileira de Jornalismo Investigativo,projor.org.br,1,0,1,Brazil: 1
Bathu Group (Pty) Ltd,bathu.co.za,1,0,1,South Africa: 1
Level Up Coding,levelupcoding.com,1,0,1,Australia: 1
KodeKloud,kodekloud.com,1,0,1,Singapore: 1
AgFeed,agfeed.com.br,1,0,1,Brazil: 1
Pepul,pepul.com,1,0,1,India: 1
Hypera,hyperapharma.com.br,1,0,1,Brazil: 1
My Fin Academy,myfinacademy.com,1,0,1,United Arab Emirates: 1
FutrMinds,futrminds.com,1,0,1,India: 1
FOURSYS,foursys.com,1,0,1,Brazil: 1
EQI INVESTIMENTOS,eqi.com.br,1,0,1,Brazil: 1
RELX,relx.com,1,0,1,United Kingdom: 1
Evolv Africa,evolvafrica.com,1,0,1,Nigeria: 1
HelpBnk,helpbnk.com,1,0,1,United Kingdom: 1
Telecom Egypt,te.eg,1,0,1,الجيزة مصر: 1
SUN PHARMA,sunpharma.com,1,0,1,India: 1
Airudi Afrique,airudi.com,1,0,1,Senegal: 1
Ambrosía,ambrosia.mx,1,0,1,Mexico: 1
Legrand,legrandgroup.com,1,0,1,India: 1
Dr Kalam Foundation Charitable Trust,drkalamfoundation.org,1,0,1,India: 1
Bupa Europe & LatinAmerica,glowgfs.com,1,0,1,Spain: 1
AçıkBeyin Eğitim ve Danışmanlık,acikbeyin.com,1,0,1,Türkiye: 1
Move To Dubai,movetodubai.com,1,0,1,Bangladesh: 1
رفيقك المهني,yourpromate.com,1,0,1,Saudi Arabia: 1
HM Treasury,www.gov.uk,1,0,1,United Kingdom: 1
Siloam Hospitals Group,siloamhospitals.com,1,0,1,Indonesia: 1
Kryszna Cybersecurity,kryszna.in,1,0,1,India: 1
Insight222,insight222.com,1,0,1,United Kingdom: 1
Bytecode Technologies Pvt. Ltd.,bytecodetechnologies.in,1,0,1,India: 1
Startup-Verband,startupverband.de,1,0,1,Germany: 1
L'Oréal,loreal.com,1,0,1,France: 1
Solocomedia,globomedia.es,1,0,1,Spain: 1
Radically Yours - A Resolüt Partners Initiative,radicallyyours.com,1,0,1,India: 1
Coding Challenges,codingchallenges.fyi,1,0,1,United Kingdom: 1
LEAURY,leaury.com,1,0,1,Pakistan: 1
Slash Intérim,slash-interim.com,1,0,1,France: 1
TIA S.A.,tia.com.ec,1,0,1,Ecuador: 1
Blue Tree Hotels,bluetree.com.br,1,0,1,Brazil: 1
TopAIsJobs - Find your next job in Data & AI,topaisjobs.com,1,0,1,Peru: 1
Extramarks,extramarks.com,1,0,1,India: 1
42Works,42works.net,1,0,1,India: 1
Climate Impulse,climateimpulse.org,1,0,1,Switzerland: 1
Astra UD Trucks,astraudtrucks.co.id,1,0,1,Indonesia: 1
TALA,wearetala.com,1,0,1,United Kingdom: 1
Aksi Bersama,aksibersama.or.id,1,0,1,Indonesia: 1
RH Summit,rhsummit.com,1,0,1,Brazil: 1
Infinum,infinum.com,1,0,1,United Arab Emirates: 1
Tokyo Metropolitan Government,tokyo.lg.jp,1,0,1,Japan: 1
Cursor,cursor.com,1,0,1,Israel: 1
Civis,civis.vote,1,0,1,India: 1
Team for the Planet,team-planet.com,1,0,1,France: 1
EPIs da Saúde Mental (Angelina Produções),episdasaudemental.com.br,1,0,1,Brazil: 1
"The Center for Black Women, Work, and Power",lizleibabooks.com,1,0,1,Washington DC-Baltimore Area: 1
Quince,quince.com,1,0,1,India: 1
IT-TALENT | Tech Headhunting & Outsourcing,it-talenthh.com,1,0,1,Chile: 1
Welspun Living Limited,welspunliving.com,1,0,1,India: 1
Stealth Startup,harmonic.ai,3,2,1,India: 1
Gemmyo,gemmyo.com,1,0,1,France: 1
Saudi Real Estate Infrastructure Company (BINYAH),binyah.com.sa,1,0,1,Saudi Arabia: 1
Bechtel Corporation,bechtel.com,1,0,1,Saudi Arabia: 1
Appinventiv,appinventiv.com,1,0,1,India: 1
Hotbit.,hotbitinfosoft.com,1,0,1,India: 1
Samp Associates,sampengineering.com,1,0,1,India: 1
Peak XV Partners,sequoiacap.com,1,0,1,India: 1
Great People Mental Health,gpmentalhealth.com.br,1,0,1,Brazil: 1
Monk-E,monk-e.in,1,0,1,India: 1
Caltech,caltech.edu,2,1,1,Singapore: 1
وادي بابل للمقاولات و الاستثمار,wadibabel.ly,1,0,1,Egypt: 1
People Not Tech,peoplenottech.com,1,0,1,Spain: 1
Aster DM Healthcare,asterdmhealthcare.com,1,0,1,United Arab Emirates: 1
Nuclieos,nuclieos.com,1,0,1,Pakistan: 1
GeekPark 极客公园,geekpark.net,1,0,1,China: 1
GardaWorld,garda.com,1,0,1,Canada: 1
Workplace Options,workplaceoptions.com,1,0,1,Chile: 1
YPF,ypf.com,1,0,1,Argentina: 1
Nigeria Data Protection Commission- NDPC,ndpc.gov.ng,1,0,1,Nigeria: 1
Federal Republic of Nigeria,statehouse.gov.ng,1,0,1,Nigeria: 1
CA Monk,camonk.com,1,0,1,India: 1
GCS Designing & Advertising L.L.C.,goldencs.ae,1,0,1,United Arab Emirates: 1
